 No.,ID,Pos.(X),Pos.(Y),Pos.(Z),Data(X),Data(Y),Data(Z),Main Data,Displacement,Prn Cos(X),Prn Cos(Y),Prn Cos(Z),
2756,15480,2.49425e+01,-4.59545e+00,1.00000e+00,-,-,-,1.01404e+01,4.24469e-02,-,-,-,
2755,15311,2.72356e+01,-5.00000e+00,1.00000e+00,-,-,-,9.76807e+00,3.80084e-02,-,-,-,
2754,15583,2.80927e+01,-4.78497e+00,1.00000e+00,-,-,-,9.60493e+00,3.58675e-02,-,-,-,
2753,15413,2.13358e+01,-4.15636e+00,1.00000e+00,-,-,-,3.37717e+01,4.99072e-02,-,-,-,
2752,15362,1.66406e+01,5.00000e+00,1.00000e+00,-,-,-,1.27662e+01,5.39403e-02,-,-,-,
2751,15609,1.56665e+01,4.54057e+00,1.00000e+00,-,-,-,1.20591e+01,5.59002e-02,-,-,-,
2750,15770,1.98533e+01,-1.84975e+00,1.00000e+00,-,-,-,8.49207e+00,5.17681e-02,-,-,-,
2749,15402,1.48164e+01,-3.25902e+00,1.00000e+00,-,-,-,9.98031e+00,5.46938e-02,-,-,-,
2748,15658,1.90745e+01,-1.27826e+00,1.00000e+00,-,-,-,9.23292e+00,5.26144e-02,-,-,-,
2747,15556,3.04743e+01,3.83394e+00,1.00000e+00,-,-,-,5.80732e+00,2.40164e-02,-,-,-,
2746,15568,2.83680e+01,4.40152e+00,1.00000e+00,-,-,-,6.82684e+00,3.03353e-02,-,-,-,
2745,15375,2.81291e+01,5.00000e+00,1.00000e+00,-,-,-,1.47455e+01,3.05285e-02,-,-,-,
2744,15533,1.97677e+01,-4.32112e+00,1.00000e+00,-,-,-,1.22692e+01,5.23512e-02,-,-,-,
2743,15597,1.98299e+01,-3.76090e+00,1.00000e+00,-,-,-,7.19575e+00,5.21176e-02,-,-,-,
2742,15596,1.95221e+01,-4.35124e+00,1.00000e+00,-,-,-,1.30822e+01,5.25689e-02,-,-,-,
2741,15758,2.72635e+01,1.35847e+00,1.00000e+00,-,-,-,8.98950e+00,3.41473e-02,-,-,-,
2740,15455,3.03597e+01,2.50632e+00,1.00000e+00,-,-,-,9.97502e+00,2.53918e-02,-,-,-,
2739,15650,3.45345e+01,-1.14568e+00,1.00000e+00,-,-,-,9.68860e+00,2.12402e-02,-,-,-,
2738,15360,1.53493e+01,5.00000e+00,1.00000e+00,-,-,-,1.45811e+01,5.61980e-02,-,-,-,
2737,15445,2.59344e+01,-4.01245e-01,1.00000e+00,-,-,-,9.51584e+00,3.77229e-02,-,-,-,
2736,15756,1.86570e+01,-7.30274e-01,1.00000e+00,-,-,-,9.66024e+00,5.30851e-02,-,-,-,
2735,15657,3.15757e+01,1.95270e+00,1.00000e+00,-,-,-,9.68857e+00,2.26053e-02,-,-,-,
2734,15491,3.08946e+01,2.36819e+00,1.00000e+00,-,-,-,9.77751e+00,2.40146e-02,-,-,-,
